episode,total_reward,steps,success,epsilon,rolling_success
347,-11.613,400,0,0.176517,0.29
348,-6.841,393,1,0.175634,0.3
349,-10.965,400,0,0.174756,0.3
350,2.501,370,1,0.173882,0.31
351,4.511,356,1,0.173013,0.32
352,5.315,100,1,0.172148,0.33
353,-4.611,357,1,0.171287,0.34
354,-7.477,400,0,0.170431,0.34
355,4.547,219,1,0.169578,0.34
356,2.851,318,1,0.168731,0.34
357,-8.174,400,0,0.167887,0.34
358,1.211,317,1,0.167047,0.34
359,6.945,165,1,0.166212,0.34
360,-9.072,400,0,0.165381,0.34
361,5.573,189,1,0.164554,0.35
362,8.911,92,1,0.163731,0.36
363,-16.15,400,0,0.162913,0.36
364,7.175,134,1,0.162098,0.37
365,-9.173,400,0,0.161288,0.36
366,3.471,300,1,0.160481,0.37
367,4.385,183,1,0.159679,0.37
368,-9.022,400,0,0.158881,0.37
369,-6.431,400,0,0.158086,0.36
370,-7.677,400,0,0.157296,0.36
371,-11.215,400,0,0.156509,0.36
372,-2.597,138,1,0.155727,0.37
373,-5.833,400,0,0.154948,0.36
374,7.395,63,1,0.154173,0.37
375,4.737,129,1,0.153402,0.37
376,-5.933,400,0,0.152635,0.37
377,-10.07,400,0,0.151872,0.36
378,-7.727,400,0,0.151113,0.36
379,7.141,117,1,0.150357,0.37
380,4.185,184,1,0.149606,0.38
381,7.103,155,1,0.148857,0.39
382,3.861,59,1,0.148113,0.4
383,-8.873,400,0,0.147373,0.4
384,-6.384,400,0,0.146636,0.4
385,8.787,116,1,0.145903,0.41
386,-5.683,400,0,0.145173,0.41
387,6.817,141,1,0.144447,0.42
388,-6.032,400,0,0.143725,0.42
389,-5.384,400,0,0.143006,0.42
390,1.905,271,1,0.142291,0.43
391,-11.366,400,0,0.14158,0.43
392,-6.83,400,0,0.140872,0.42
393,-13.108,400,0,0.140168,0.42
394,-3.889,400,0,0.139467,0.42
395,-5.085,400,0,0.138769,0.42
396,-5.533,400,0,0.138076,0.42
397,-6.133,400,0,0.137385,0.42
398,3.301,167,1,0.136698,0.43
399,-6.135,400,0,0.136015,0.43
400,-7.527,400,0,0.135335,0.42
401,-6.283,400,0,0.134658,0.42
402,-11.266,400,0,0.133985,0.42
403,-5.782,400,0,0.133315,0.42
404,-4.337,400,0,0.132648,0.42
405,-6.978,400,0,0.131985,0.42
406,-11.614,400,0,0.131325,0.41
407,-6.679,400,0,0.130668,0.41
408,6.045,166,1,0.130015,0.42
409,5.035,179,1,0.129365,0.43
410,-7.427,400,0,0.128718,0.43
411,-7.178,400,0,0.128075,0.43
412,-1.057,341,1,0.127434,0.43
413,-10.518,400,0,0.126797,0.43
414,1.913,114,1,0.126163,0.44
415,4.563,304,1,0.125532,0.45
416,-5.785,400,0,0.124905,0.45
417,-13.408,400,0,0.12428,0.44
418,-11.164,400,0,0.123659,0.44
419,-10.267,400,0,0.12304,0.44
420,-7.576,400,0,0.122425,0.43
421,-18.892,400,0,0.121813,0.43
422,-11.164,400,0,0.121204,0.43
423,-8.174,400,0,0.120598,0.43
424,-6.679,400,0,0.119995,0.42
425,-15.699,400,0,0.119395,0.42
426,-7.875,400,0,0.118798,0.41
427,-11.463,400,0,0.118204,0.41
428,-15.201,400,0,0.117613,0.41
429,-8.772,400,0,0.117025,0.41
430,8.535,70,1,0.11644,0.41
431,-4.439,386,1,0.115858,0.41
432,-7.925,400,0,0.115278,0.41
433,-6.081,400,0,0.114702,0.4
434,4.847,120,1,0.114128,0.41
435,-23.124,400,0,0.113558,0.4
436,-55.117,400,0,0.11299,0.4
437,-35.682,400,0,0.112425,0.4
438,-3.689,400,0,0.111863,0.39
439,-8.374,400,0,0.111304,0.38
440,-25.419,400,0,0.110747,0.37
441,-13.257,400,0,0.110193,0.37
442,-30.503,400,0,0.109642,0.36
443,0.667,362,1,0.109094,0.37
444,-4.636,400,0,0.108549,0.36
445,-14.503,400,0,0.108006,0.35
446,2.045,380,1,0.107466,0.35
447,-5.982,400,0,0.106929,0.35
448,-7.975,400,0,0.106394,0.34
449,2.475,199,1,0.105862,0.35
450,-15.948,400,0,0.105333,0.34
451,0.937,339,1,0.104806,0.34
452,3.409,212,1,0.104282,0.34
453,-13.407,400,0,0.103761,0.33
454,-4.017,161,1,0.103242,0.34
455,-6.281,400,0,0.102726,0.33
456,-0.159,192,1,0.102212,0.33
457,-26.415,400,0,0.101701,0.33
458,-5.085,400,0,0.101192,0.32
459,-6.625,180,1,0.100686,0.32
460,-1.609,246,1,0.100183,0.33
461,-13.158,400,0,0.099682,0.32
462,-5.784,400,0,0.099184,0.31
463,8.663,91,1,0.098688,0.32
464,-13.756,400,0,0.098194,0.31
465,-11.416,400,0,0.097703,0.31
466,-19.536,400,0,0.097215,0.3
467,3.243,327,1,0.096729,0.3
468,-13.908,400,0,0.096245,0.3
469,-8.274,400,0,0.095764,0.3
470,2.941,182,1,0.095285,0.31
471,-10.018,400,0,0.094809,0.31
472,2.783,290,1,0.094335,0.31
473,-8.174,400,0,0.093863,0.31
474,3.975,194,1,0.093394,0.31
475,-12.36,400,0,0.092927,0.3
476,-5.782,400,0,0.092462,0.3
477,-3.988,400,0,0.092,0.3
478,-3.689,400,0,0.09154,0.3
479,6.151,111,1,0.091082,0.3
480,-9.669,400,0,0.090627,0.29
481,9.405,97,1,0.090173,0.29
482,6.013,100,1,0.089723,0.29
483,2.391,283,1,0.089274,0.3
484,-6.131,400,0,0.088828,0.3
485,-3.689,400,0,0.088383,0.29
486,5.823,139,1,0.087942,0.3
487,-4.786,400,0,0.087502,0.29
488,7.035,222,1,0.087064,0.3
489,-5.889,400,0,0.086629,0.3
490,-4.985,400,0,0.086196,0.29
491,-1.213,200,1,0.085765,0.3
492,-4.287,400,0,0.085336,0.3
493,3.845,125,1,0.084909,0.31
494,-22.229,400,0,0.084485,0.31
495,-18.34,400,0,0.084062,0.31
496,-2.493,400,0,0.083642,0.31
497,-1.596,400,0,0.083224,0.31
498,7.175,181,1,0.082808,0.31
499,4.959,107,1,0.082394,0.32
500,-16.602,400,0,0.081982,0.32
